"xpath","variable_name","variable_name_new","len()","description","location_code_xsd","location_code","form","form_type","form_part","form_line_number","variable_scope","data_type_xsd","data_type_simple","rdb_relationship","rdb_table","required","versions","latest_version","duplicated","current_version","production_rule","validated"
"/Return/ReturnData/IRS990PF/PFStatusTerminatedSect507b1A","F9_00_PF_PFFSSTTESEA","PF_00_PF_STAT_TERMIN_507B1A_X",29,"Indicates private foundation status terminated under section 507(b)(1)(A)","[PFStatusTerminatedSect507b1A] E","F990-PF-PART-00-SECTION-E","F990","PF","PART-00","Section E","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/PFStatusTermSect507b1AInd","F9_00_PF_PFSTSAIND","PF_00_PF_STAT_TERMIN_507B1A_X",29,"Indicates private foundation status terminated under section 507(b)(1)(A)","[PFStatusTermSect507b1AInd] E","F990-PF-PART-00-SECTION-E","F990","PF","PART-00","Section E","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/AmendedReturn","F9_00_PF_AMENDERETURN","PF_00_FORM_AMENDED_RETURN_X",27,"Amended return","[AmendedReturn] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/AmendedReturnInd","F9_00_PF_AMENDERETURN","PF_00_FORM_AMENDED_RETURN_X",27,"Amended return","[AmendedReturnInd] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/InitialReturn","F9_00_PF_INITIARETURN","PF_00_FORM_INITIAL_RETURN_X",27,"Indicates this is an initial return","[InitialReturn] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/InitialReturnInd","F9_00_PF_INITIARETURN","PF_00_FORM_INITIAL_RETURN_X",27,"Indicates this is an initial return","[InitialReturnInd] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/InitialReturnFormerPubChrtyInd","F9_00_PF_INREFOPUCHHR","PF_00_FORM_INITIAL_RETURN_PC_X",30,"Indicates this is an initial return of a former public charity","[InitialReturnFormerPubChrtyInd] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
"/Return/ReturnData/IRS990PF/InitialReturnFormerPublicChrty","F9_00_PF_INREFOPUCHHR","PF_00_FORM_INITIAL_RETURN_PC_X",30,"Indicates this is an initial return of a former public charity","[InitialReturnFormerPublicChrty] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/AddressChange","F9_00_PF_ADDRESCHANGE","PF_00_FORM_ADDR_CHANGE_X",24,"Indicates this return has an address change","[AddressChange] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0",2012,"F","T",,
"/Return/ReturnData/IRS990PF/AddressChangeInd","F9_00_PF_ADDRESCHANGE","PF_00_FORM_ADDR_CHANGE_X",24,"Indicates this return has an address change","[AddressChangeInd] G","F990-PF-PART-00-SECTION-G","F990","PF","PART-00","Section G","HD",,"checkbox","ONE","PF-P00-T00-HEADER",,"2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0",2016,"F","T",,
