xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/InfoInScheduleOPartXII,F9_12_PC_SCHEDO,F9_12_FINSTAT_SCHED_O_X,23,Schedule O contains a response to a question in Part XII,[InfoInScheduleOPartXII] Part XII,F990-PC-PART-12-LINE-00,F990-PC,F990,PC,PART-12,Line 00,PC,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/InfoInScheduleOPartXIIInd,F9_12_PC_SCHEDO,F9_12_FINSTAT_SCHED_O_X,23,Schedule O contains a response to a question in Part XII,[InfoInScheduleOPartXIIInd] Part XII,F990-PC-PART-12-LINE-00,F990-PC,F990,PC,PART-12,Line 00,PC,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/MethodOfAccountingAccrual,F9_12_PC_ACCTACCRU,F9_12_FINSTAT_METHOD_ACC_ACCRU_X,32,Method of accounting - Accrual,[MethodOfAccountingAccrual] Part XII Line 1,F990-PC-PART-12-LINE-01,F990-PC,F990,PC,PART-12,Line 01,PZ,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990/MethodOfAccountingAccrualInd,F9_12_PC_ACCTACCRU,F9_12_FINSTAT_METHOD_ACC_ACCRU_X,32,Method of accounting - Accrual,[MethodOfAccountingAccrualInd] Part XII Line 1,F990-PC-PART-12-LINE-01,F990-PC,F990,PC,PART-12,Line 01,PZ,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/MethodOfAccountingCash,F9_12_PC_ACCTCASH,F9_12_FINSTAT_METHOD_ACC_CASH_X,31,Method of accounting - Cash,[MethodOfAccountingCash] Part XII Line 1,F990-PC-PART-12-LINE-01,F990-PC,F990,PC,PART-12,Line 01,PZ,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990/MethodOfAccountingCashInd,F9_12_PC_ACCTCASH,F9_12_FINSTAT_METHOD_ACC_CASH_X,31,Method of accounting - Cash,[MethodOfAccountingCashInd] Part XII Line 1,F990-PC-PART-12-LINE-01,F990-PC,F990,PC,PART-12,Line 01,PZ,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/MethodOfAccountingOther,F9_12_PC_ACCTOTH,F9_12_FINSTAT_METHOD_ACC_OTH_X,30,Method of accounting - Other,[MethodOfAccountingOther] Part XII Line 1,F990-PC-PART-12-LINE-01,F990-PC,F990,PC,PART-12,Line 01,PZ,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,T,T,,
/Return/ReturnData/IRS990/MethodOfAccountingOtherInd,F9_12_PC_ACCTOTH,F9_12_FINSTAT_METHOD_ACC_OTH_X,30,Method of accounting - Other,[MethodOfAccountingOtherInd] Part XII Line 1,F990-PC-PART-12-LINE-01,F990-PC,F990,PC,PART-12,Line 01,PZ,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/ConsolAndSepBasisFinclStmtInd,F9_12_PC_FINSTATBOTH,F9_12_FINSTAT_COMPILE_BOTH_X,28,Financial statement issued on consolidated and separate basis,[AcctCompileOrReviewBasisGrp] Part XII Line 2a; [ConsolAndSepBasisFinclStmtInd] Part XII Lines 2a and 2b,F990-PC-PART-12-LINE-02A,F990-PC,F990,PC,PART-12,Line 02a,PC,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/ConsolidatedBasisFinclStmtInd,F9_12_PC_FINSTATCONSOL,F9_12_FINSTAT_COMPILE_CONSOL_X,30,Financial statement issued on consolidated basis,[AcctCompileOrReviewBasisGrp] Part XII Line 2a; [ConsolidatedBasisFinclStmtInd] Part XII Lines 2a and 2b,F990-PC-PART-12-LINE-02A,F990-PC,F990,PC,PART-12,Line 02a,PC,CheckboxType,checkbox,ONE,F9-P12-T00-FINANCIAL-REPORTING,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
