xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,scope,part,line_number,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnData/IRS990/InfoInScheduleOPartIX,F9_09_PC_IISOPIX,F9_09_EXP_SCHED_O_X,19,Schedule O contains a response to a question in Part IX,[InfoInScheduleOPartIX] Part IX,F990-PC-PART-09-LINE-00,F990-PC,PC,PART-09,Line 00,,checkbox,ONE,F9-P09-T00-EXPENSES,,2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/InfoInScheduleOPartIXInd,F9_09_PC_SCHEDOCHECKBOX,F9_09_EXP_SCHED_O_X,19,Check if schedule O contains a response or note to any line in this Part IX,[InfoInScheduleOPartIXInd] Part IX,F990-PC-PART-09-LINE-00,F990-PC,PC,PART-09,Line 00,CheckboxType,checkbox,ONE,F9-P09-T00-EXPENSES,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartIX/GrantsToDomesticOrgs/Total,F9_09_PC_GRTODOORTOOT,F9_09_EXP_GRANT_ORG_DMSTC_TOT,29,Grants To Domestic Orgs - Total,,F990-PC-PART-09-LINE-01-COL-A,F990-PC,PC,PART-09,Line 01 Column (A),,numeric,ONE,F9-P09-T00-EXPENSES,,,,,,,
/Return/ReturnData/IRS990/GrantsToDomesticOrgs/Total,F9_09_PC_GRANTSDOMORGSTE,F9_09_EXP_GRANT_ORG_DMSTC_TOT,29,Total Grants to Domestic Orgs and Governments - Total Expense,[GrantsToDomesticOrgs] Part IX Line 1; [Total] col (A),F990-PC-PART-09-LINE-01-COL-A,F990-PC,PC,PART-09,Line 01 Column (A),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/GrantsToDomesticOrgsGrp/TotalAmt,F9_09_PC_GRANTSDOMORGSTE,F9_09_EXP_GRANT_ORG_DMSTC_TOT,29,Total Grants to Domestic Orgs and Governments - Total Expense,[GrantsToDomesticOrgsGrp] Part IX Line 1; [TotalAmt] col (A),F990-PC-PART-09-LINE-01-COL-A,F990-PC,PC,PART-09,Line 01 Column (A),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartIX/GrantsToDomesticOrgs/ProgramServices,F9_09_PC_GRTODOORPRSE,F9_09_EXP_GRANT_ORG_DMSTC_PROG,30,Program services,,F990-PC-PART-09-LINE-01-COL-B,F990-PC,PC,PART-09,Line 01 Column (B),,numeric,ONE,F9-P09-T00-EXPENSES,,,,,,,
/Return/ReturnData/IRS990/GrantsToDomesticOrgs/ProgramServices,F9_09_PC_GRANTSDOMORGSPSE,F9_09_EXP_GRANT_ORG_DMSTC_PROG,30,Total Grants to Domestic Orgs and Governments - Program Service Expenses,[GrantsToDomesticOrgs] Part IX Line 1; [ProgramServices] col (B),F990-PC-PART-09-LINE-01-COL-B,F990-PC,PC,PART-09,Line 01 Column (B),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/GrantsToDomesticOrgsGrp/ProgramServicesAmt,F9_09_PC_GRANTSDOMORGSPSE,F9_09_EXP_GRANT_ORG_DMSTC_PROG,30,Total Grants to Domestic Orgs and Governments - program,[GrantsToDomesticOrgsGrp] Part IX Line 1; [ProgramServicesAmt] col (B),F990-PC-PART-09-LINE-01-COL-B,F990-PC,PC,PART-09,Line 01 Column (B),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartIX/GrantsToDomesticIndividuals/Total,F9_09_PC_GRATODDOMTOT,F9_09_EXP_GRANT_INDIV_DMSTC_TOT,31,Grants To Domestic Individuals - Total,,F990-PC-PART-09-LINE-02-COL-A,F990-PC,PC,PART-09,Line 02 Column (A),,numeric,ONE,F9-P09-T00-EXPENSES,,,,,,,
/Return/ReturnData/IRS990/GrantsToDomesticIndividuals/Total,F9_09_PC_GRANTSDOMINDIVTE,F9_09_EXP_GRANT_INDIV_DMSTC_TOT,31,Total Grants and Assistance to Domestic Individuals - Total Expense,[GrantsToDomesticIndividuals] Part IX Line 2; [Total] col (A),F990-PC-PART-09-LINE-02-COL-A,F990-PC,PC,PART-09,Line 02 Column (A),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/GrantsToDomesticIndividualsGrp/TotalAmt,F9_09_PC_GRANTSDOMINDIVTE,F9_09_EXP_GRANT_INDIV_DMSTC_TOT,31,Total Grants and Assistance to Domestic Individuals - Total Expense,[GrantsToDomesticIndividualsGrp] Part IX Line 2; [TotalAmt] col (A),F990-PC-PART-09-LINE-02-COL-A,F990-PC,PC,PART-09,Line 02 Column (A),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartIX/GrantsToDomesticIndividuals/ProgramServices,F9_09_PC_GRTODOPRSEER,F9_09_EXP_GRANT_INDIV_DMSTC_PROG,32,Program services,,F990-PC-PART-09-LINE-02-COL-B,F990-PC,PC,PART-09,Line 02 Column (B),,numeric,ONE,F9-P09-T00-EXPENSES,,,,,,,
/Return/ReturnData/IRS990/GrantsToDomesticIndividuals/ProgramServices,F9_09_PC_GRANTSDOMINDIVPSE,F9_09_EXP_GRANT_INDIV_DMSTC_PROG,32,Total Grants and Assistance to Domestic Individuals - Program Service Expenses,[GrantsToDomesticIndividuals] Part IX Line 2; [ProgramServices] col (B),F990-PC-PART-09-LINE-02-COL-B,F990-PC,PC,PART-09,Line 02 Column (B),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/GrantsToDomesticIndividualsGrp/ProgramServicesAmt,F9_09_PC_GRANTSDOMINDIVPSE,F9_09_EXP_GRANT_INDIV_DMSTC_PROG,32,Total Grants and Assistance to Domestic Individuals - program,[GrantsToDomesticIndividualsGrp] Part IX Line 2; [ProgramServicesAmt] col (B),F990-PC-PART-09-LINE-02-COL-B,F990-PC,PC,PART-09,Line 02 Column (B),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/ForeignGrants/Total,F9_09_PC_GRANTSFORNORGSTE,F9_09_EXP_GRANT_FRGN_TOT,24,total Grants to Foreign Orgs and Governments - Total Expense,[ForeignGrants] Part IX Line 3; [Total] col (A),F990-PC-PART-09-LINE-03-COL-A,F990-PC,PC,PART-09,Line 03 Column (A),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ForeignGrantsGrp/TotalAmt,F9_09_PC_GRANTSFORNORGSTE,F9_09_EXP_GRANT_FRGN_TOT,24,total Grants to Foreign Orgs and Governments - Total Expense,[ForeignGrantsGrp] Part IX Line 3; [TotalAmt] col (A),F990-PC-PART-09-LINE-03-COL-A,F990-PC,PC,PART-09,Line 03 Column (A),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartIX/ForeignGrants/Total,F9_09_PC_FOREGRANTOTA,F9_09_EXP_GRANT_FRGN_TOT,24,Foreign Grants - Total,,F990-PC-PART-09-LINE-03-COL-A,F990-PC,PC,PART-09,Line 03 Column (A),,numeric,ONE,F9-P09-T00-EXPENSES,,,,,,,
/Return/ReturnData/IRS990/ForeignGrants/ProgramServices,F9_09_PC_GRANTSFORNORGSPSE,F9_09_EXP_GRANT_FRGN_PROG,25,total Grants to Foreign Orgs and Governments - Program Service Expenses,[ForeignGrants] Part IX Line 3; [ProgramServices] col (B),F990-PC-PART-09-LINE-03-COL-B,F990-PC,PC,PART-09,Line 03 Column (B),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnData/IRS990/ForeignGrantsGrp/ProgramServicesAmt,F9_09_PC_GRANTSFORNORGSPSE,F9_09_EXP_GRANT_FRGN_PROG,25,total Grants to Foreign Orgs and Governments - program,[ForeignGrantsGrp] Part IX Line 3; [ProgramServicesAmt] col (B),F990-PC-PART-09-LINE-03-COL-B,F990-PC,PC,PART-09,Line 03 Column (B),USAmountType,numeric,ONE,F9-P09-T00-EXPENSES,,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnData/IRS990/Form990PartIX/ForeignGrants/ProgramServices,F9_09_PC_FORGRAPROSER,F9_09_EXP_GRANT_FRGN_PROG,25,Program services,,F990-PC-PART-09-LINE-03-COL-B,F990-PC,PC,PART-09,Line 03 Column (B),,numeric,ONE,F9-P09-T00-EXPENSES,,,,,,,
